============================================================
NEWCOMER CLASSIFICATION
============================================================
Description      : Classification of newcomers who made their first
                   issue contribution between 2025-03-20 and 2026-03-20.
                   A newcomer is considered LEAVING when their last
                   contribution was more than 90 days ago
                   (i.e. before 2025-12-20), ACTIVE otherwise.
Contribution type: issue
Threshold        : 90 days (leaving cutoff: 2025-12-20)
============================================================
Total newcomers  : 29
Active           : 6 (21%)
Leaving          : 23 (79%)
Repeat contribs  : 5 (17%)
============================================================

Newcomers:
  lthasle                        | First: 2026-03-12 | Last: 2026-03-12 | ACTIVE
  neoludo                        | First: 2025-09-16 | Last: 2026-03-02 | ACTIVE
  carrotFromCali                 | First: 2026-01-14 | Last: 2026-02-12 | ACTIVE
  bart-vmware                    | First: 2026-01-20 | Last: 2026-02-04 | ACTIVE
  dennisvang                     | First: 2026-01-27 | Last: 2026-01-27 | ACTIVE
  cbot59                         | First: 2025-12-28 | Last: 2025-12-28 | ACTIVE
  squalou                        | First: 2025-12-10 | Last: 2025-12-10 | LEAVING
  cybervuln2077                  | First: 2025-12-09 | Last: 2025-12-09 | LEAVING
  swapneshran                    | First: 2025-12-05 | Last: 2025-12-05 | LEAVING
  TKorhonen                      | First: 2025-11-03 | Last: 2025-11-03 | LEAVING
  benjaminoweprintix             | First: 2025-08-20 | Last: 2025-08-20 | LEAVING
  ulischulte                     | First: 2025-08-08 | Last: 2025-08-08 | LEAVING
  AE-RobertMcDonnell             | First: 2025-08-07 | Last: 2025-08-07 | LEAVING
  mirogaudi                      | First: 2025-07-01 | Last: 2025-08-06 | LEAVING
  ganeshbabugb                   | First: 2025-07-08 | Last: 2025-07-08 | LEAVING
  BCS-ChaitaliS                  | First: 2025-07-01 | Last: 2025-07-01 | LEAVING
  Raj002                         | First: 2025-06-24 | Last: 2025-06-24 | LEAVING
  Caratacus                      | First: 2025-06-03 | Last: 2025-06-03 | LEAVING
  bigluds                        | First: 2025-05-23 | Last: 2025-05-23 | LEAVING
  MichiBaum                      | First: 2025-05-21 | Last: 2025-05-21 | LEAVING
  luguohaole                     | First: 2025-05-15 | Last: 2025-05-15 | LEAVING
  hanpov                         | First: 2025-05-08 | Last: 2025-05-08 | LEAVING
  Anvice                         | First: 2025-04-24 | Last: 2025-04-28 | LEAVING
  carolmorneau                   | First: 2025-04-25 | Last: 2025-04-25 | LEAVING
  rcrafael                       | First: 2025-04-19 | Last: 2025-04-19 | LEAVING
  mrdaios                        | First: 2025-04-06 | Last: 2025-04-06 | LEAVING
  alicetongtong8                 | First: 2025-04-05 | Last: 2025-04-05 | LEAVING
  xxcka                          | First: 2025-04-03 | Last: 2025-04-03 | LEAVING
  obourgain                      | First: 2025-03-31 | Last: 2025-03-31 | LEAVING

Newcomers with repeat contributions:
  mirogaudi                      | First: 2025-07-01 | Last: 2025-08-06 | Contributions: 6
  Anvice                         | First: 2025-04-24 | Last: 2025-04-28 | Contributions: 3
  neoludo                        | First: 2025-09-16 | Last: 2026-03-02 | Contributions: 2
  carrotFromCali                 | First: 2026-01-14 | Last: 2026-02-12 | Contributions: 2
  bart-vmware                    | First: 2026-01-20 | Last: 2026-02-04 | Contributions: 2
